itemName,answerType,mean,mean_zscored
bookingAgency-lowClassAccommodation,otherCategory1,9.055555555555555,-0.9284384965008547
bookingAgency-lowClassAccommodation,otherCategory2,9.38888888888889,-0.9189160503828973
kidsActivities-sports,competitor,61.15384615384615,0.5323263882743563
kidsActivities-sports,sameCategory1,43.38461538461539,-0.16240466082946473
kidsActivities-sports,sameCategory2,70.46153846153847,0.8962331282811198
kidsActivities-sports,otherCategory1,27,-0.8030008229901309
kidsActivities-sports,otherCategory2,35.69230769230769,-0.46315403273588074
bookingAgency-highClassAccommodation,competitor,61.666666666666664,0.5305981752343624
bookingAgency-highClassAccommodation,sameCategory1,71.22222222222223,0.8012473037643454
bookingAgency-highClassAccommodation,sameCategory2,62.44444444444444,0.552627755463547
bookingAgency-highClassAccommodation,otherCategory1,10.444444444444445,-0.9202070370019425
bookingAgency-highClassAccommodation,otherCategory2,8.88888888888889,-0.9642661974603118
waterSport-muscle,competitor,71.375,0.5958798255843568
waterSport-muscle,sameCategory1,58.6875,0.12520432132900883
waterSport-muscle,sameCategory2,62.5,0.2666388324599262
waterSport-muscle,otherCategory1,43.6875,-0.43125932902214154
waterSport-muscle,otherCategory2,40.3125,-0.5564636503511504
touristInfo-clubbing,competitor,61.45454545454545,0.7693862666417344
touristInfo-clubbing,sameCategory1,46.09090909090909,0.12569181583751096
touristInfo-clubbing,sameCategory2,44.09090909090909,0.041897271945836895
touristInfo-clubbing,otherCategory1,21.818181818181817,-0.8912692395750786
touristInfo-clubbing,otherCategory2,42,-0.04570611485000415
cafe-pizza,competitor,63.07142857142857,0.6042721382542122
cafe-pizza,sameCategory1,33.357142857142854,-0.5099885422145478
cafe-pizza,sameCategory2,38.42857142857143,-0.31981424338454306
cafe-pizza,otherCategory1,50.714285714285715,0.14088969180927116
cafe-pizza,otherCategory2,49.214285714285715,0.0846409555356078
zoo-reptiles,competitor,84.05882352941177,0.8872779653304919
zoo-reptiles,sameCategory1,63.411764705882355,0.04918709926213156
zoo-reptiles,sameCategory2,67.58823529411765,0.21871545108792526
zoo-reptiles,otherCategory1,47.294117647058826,-0.6050490753895229
zoo-reptiles,otherCategory2,48.64705882352941,-0.5501314402910263
gym-boxing,competitor,76.58333333333333,0.8895436865214839
