itemName,answerType,mean,mean_zScored
furniture-outdoors,otherCategory1,31.142857142857142,3.71881345162528e-17
furniture-outdoors,otherCategory2,33.42857142857143,-8.277109156803623e-17
furniture-indoors,competitor,50.2,-1.0755285551056204e-16
furniture-indoors,sameCategory1,32.6,-1.7827897722903312e-17
furniture-indoors,sameCategory2,48.8,8.882506998449576e-17
furniture-indoors,otherCategory1,29.066666666666666,3.7021890183138355e-17
furniture-indoors,otherCategory2,34.333333333333336,-1.1334249511163464e-16
petAdoption-hamster,competitor,79.25,-8.673617379884035e-19
petAdoption-hamster,sameCategory1,62.0625,-1.0408340855860843e-17
petAdoption-hamster,sameCategory2,46.5,0
petAdoption-hamster,otherCategory1,19,-4.336808689942018e-18
petAdoption-hamster,otherCategory2,21.0625,1.0408340855860843e-17
electronics-console,competitor,44.6875,3.469446951953614e-18
electronics-console,sameCategory1,42.75,-5.204170427930421e-18
electronics-console,sameCategory2,45.125,-1.1577246323071777e-17
electronics-console,otherCategory1,38.25,0
electronics-console,otherCategory2,36.6875,3.469446951953614e-18
books-fantasy,competitor,61.38461538461539,-9.8195356760341e-17
books-fantasy,sameCategory1,68.84615384615384,2.8344380795455657e-16
books-fantasy,sameCategory2,55.30769230769231,3.311612135689859e-17
books-fantasy,otherCategory1,27.076923076923077,6.421812867798757e-18
books-fantasy,otherCategory2,45.46153846153846,7.900914831570328e-17
bar-tea,competitor,59.142857142857146,-1.1301258787914976e-16
bar-tea,sameCategory1,60.714285714285715,-3.5699292604393246e-17
bar-tea,sameCategory2,50.42857142857143,-7.732684780191258e-17
bar-tea,otherCategory1,21.142857142857142,7.93984483814831e-18
bar-tea,otherCategory2,27.142857142857142,3.182907806368159e-17
plants-flowers,competitor,60.666666666666664,1.4434706323747843e-16
plants-flowers,sameCategory1,53.93333333333333,1.4062824978585316e-16
plants-flowers,sameCategory2,53.93333333333333,1.258216621169428e-16
plants-flowers,otherCategory1,52,0
plants-flowers,otherCategory2,42.8,1.4894136994338576e-16
clothing-winter,competitor,60.9,6.662964451009667e-17
clothing-winter,sameCategory1,57.3,1.5541496041493464e-16
clothing-winter,sameCategory2,68.5,-1.111307226797642e-17
clothing-winter,otherCategory1,22.7,1.9439744952665096e-17
clothing-winter,otherCategory2,14.4,1.945058697438995e-17
friendsActivities-videoEntertainment,competitor,46.25,-1.8478870777299816e-17
friendsActivities-videoEntertainment,sameCategory1,36,2.312964634635743e-17
friendsActivities-videoEntertainment,sameCategory2,48.583333333333336,-7.632783294297951e-17
friendsActivities-videoEntertainment,otherCategory1,27.083333333333332,3.700743415417188e-17
friendsActivities-videoEntertainment,otherCategory2,29.416666666666668,-3.931136377070358e-17
disney-princess,competitor,73.28571428571429,-4.2327252813834093e-16
disney-princess,sameCategory1,70.71428571428571,3.3900872250782914e-16
disney-princess,sameCategory2,66.85714285714286,-2.3245294578089215e-16
disney-princess,otherCategory1,43.5,-1.2872964722957356e-17
disney-princess,otherCategory2,45.357142857142854,1.427274717064846e-16
movie-western,competitor,71,1.288748528776743e-17
movie-western,sameCategory1,39.5,4.935297969530556e-18
movie-western,sameCategory2,55.714285714285715,-3.5693484378469215e-17
movie-western,otherCategory1,43.42857142857143,-1.070727088341756e-16
movie-western,otherCategory2,33.92857142857143,-9.914641652318336e-17
dutyFree-sweets,competitor,70.11111111111111,-1.7471315675063633e-16
dutyFree-sweets,sameCategory1,57.333333333333336,-1.1717816146407225e-16
dutyFree-sweets,sameCategory2,66.66666666666667,-2.6524403815317595e-16
dutyFree-sweets,otherCategory1,39.77777777777778,-4.9740786335473864e-17
dutyFree-sweets,otherCategory2,44.55555555555556,-1.1719020815487764e-16
friendsActivities-boardGames,competitor,69,0
friendsActivities-boardGames,sameCategory1,51.357142857142854,2.0296264668928643e-16
friendsActivities-boardGames,sameCategory2,50.642857142857146,-1.8188846696159944e-16
friendsActivities-boardGames,otherCategory1,33.642857142857146,-1.734723475976807e-16
friendsActivities-boardGames,otherCategory2,38.07142857142857,8.670132444329618e-17
movie-fantasy,competitor,58.54545454545455,-5.044989836242777e-17
movie-fantasy,sameCategory1,47.36363636363637,-1.7285878773188777e-16
movie-fantasy,sameCategory2,45.72727272727273,3.6591823321385775e-17
movie-fantasy,otherCategory1,50.27272727272727,-3.030345072096985e-17
movie-fantasy,otherCategory2,70.18181818181819,-2.649198726551399e-16
gym-yoga,competitor,62,-8.183262306419001e-18
gym-yoga,sameCategory1,63.18181818181818,9.589028986880319e-17
gym-yoga,sameCategory2,54,-1.0092936587501423e-17
gym-yoga,otherCategory1,23.90909090909091,-2.020558594177531e-17
gym-yoga,otherCategory2,34.36363636363637,-1.2930589364397576e-16
disney-action,competitor,82.53846153846153,3.0317628749379276e-16
disney-action,sameCategory1,70.61538461538461,7.473905975945267e-17
disney-action,sameCategory2,78.07692307692308,-1.942890293094024e-16
disney-action,otherCategory1,38.07692307692308,-1.2008373061948104e-16
disney-action,otherCategory2,29.692307692307693,-6.833601192925463e-17
